Price,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Number_of_Facades,Swimming_Pool,State_of_the_Building
299000.0,De Panne,Apartment,APARTMENT,2.0,81.0,0,0.0,0,1.0,,,,,,0.0,GOOD
224900.0,Sint-Gillis-Dendermonde,House,HOUSE,2.0,140.0,0,0.0,0,1.0,,,,185.0,,0.0,GOOD
595000.0,Gent,House,HOUSE,3.0,231.0,0,0.0,0,1.0,,1.0,,116.0,2.0,0.0,
268000.0,Nazareth,Apartment,APARTMENT,3.0,89.0,0,0.0,0,,,,,,,0.0,GOOD
13750000.0,Cannes,Apartment,TRIPLEX,5.0,512.0,0,0.0,0,1.0,,,,,,1.0,
299000.0,De Panne,Apartment,APARTMENT,2.0,96.0,0,0.0,0,1.0,,,,,2.0,0.0,
305000.0,Ronse,House,HOUSE,4.0,200.0,1,0.0,0,,,,,920.0,,0.0,JUST_RENOVATED
239000.0,Verviers,House,HOUSE,4.0,197.0,0,0.0,0,,,1.0,,210.0,2.0,0.0,TO_BE_DONE_UP
365000.0,Brussel,Apartment,APARTMENT,2.0,92.0,0,0.0,0,1.0,,,,,2.0,0.0,AS_NEW
249900.0,Antwerpen,Apartment,APARTMENT,3.0,75.0,0,0.0,0,1.0,,,,,2.0,0.0,AS_NEW
169000.0,Menen,House,HOUSE,4.0,202.0,0,0.0,0,1.0,,1.0,,90.0,2.0,0.0,AS_NEW
518000.0,Sint-Katelijne-Waver,House,HOUSE,4.0,296.0,0,0.0,0,1.0,,,,214.0,,0.0,GOOD
649000.0,Uccle,House,APARTMENT_BLOCK,4.0,305.0,0,0.0,0,1.0,,1.0,,251.0,2.0,0.0,TO_RENOVATE
345000.0,Brussel,Apartment,APARTMENT,2.0,87.0,0,0.0,0,1.0,,,,,2.0,0.0,GOOD
379000.0,Aalter,House,HOUSE,3.0,182.0,0,0.0,0,1.0,,1.0,,724.0,4.0,0.0,GOOD
425000.0,Aalst (9300),Apartment,LOFT,3.0,,1,0.0,0,1.0,,,,,,0.0,AS_NEW
