Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
210000.0,,Tienen,HOUSE,HOUSE,3.0,185.0,False,,,,,1.0,30.0,30.0,114.0,2.0,,TO_RENOVATE
218000.0,,Vilvoorde,APARTMENT,APARTMENT,1.0,70.0,False,0.0,,1.0,2.0,,,,,2.0,0.0,GOOD
253000.0,,Wingene,APARTMENT,APARTMENT,1.0,,False,0.0,,1.0,,,,,,,,GOOD
289000.0,,NIEUWPOORT,APARTMENT,APARTMENT,2.0,65.0,False,1.0,,1.0,,,,,,2.0,,TO_BE_DONE_UP
310000.0,,Mojacar,HOUSE,HOUSE,3.0,,False,0.0,,1.0,,1.0,108.0,108.0,0.0,,1.0,
335000.0,,Embourg,APARTMENT,APARTMENT,3.0,155.0,True,0.0,,1.0,,,,,,4.0,,AS_NEW
,,Wielsbeke,HOUSE_GROUP,HOUSE_GROUP,,,False,,,,,,,,,,,
95000.0,,Cerfontaine,HOUSE,HOUSE,3.0,152.0,False,,,1.0,8.0,,,,120.0,3.0,,
380000.0,,Deinze,APARTMENT,APARTMENT,2.0,96.0,True,0.0,,1.0,15.0,,,,,,,GOOD
420000.0,,DRONGEN,HOUSE,HOUSE,4.0,172.0,False,,,1.0,,,,,520.0,3.0,,
296000.0,,Zingem,HOUSE,HOUSE,3.0,195.0,False,0.0,,1.0,,1.0,1057.0,1057.0,1057.0,4.0,0.0,TO_BE_DONE_UP
895000.0,,Grembergen,HOUSE,HOUSE,3.0,636.0,True,0.0,,1.0,155.0,,,,650.0,,,GOOD
194500.0,,LIBRAMONT-CHEVIGNY,APARTMENT,APARTMENT,1.0,,False,0.0,,1.0,7.0,,,,,,,
330000.0,,WETTEREN,APARTMENT,APARTMENT,2.0,117.0,False,,,1.0,19.0,,,,,2.0,,
545000.0,,Nieuwpoort,APARTMENT,APARTMENT,3.0,110.0,False,1.0,,,,,,,,2.0,0.0,
1195000.0,,Izegem,HOUSE,HOUSE,5.0,1057.0,False,,,,,,,,5969.0,4.0,,TO_BE_DONE_UP
399000.0,,Hamme,HOUSE,APARTMENT_BLOCK,6.0,204.0,False,,,1.0,,,,,254.0,2.0,,TO_RENOVATE
,,Zandhoven,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,,,,,,,,,,
385000.0,,Bavikhove,HOUSE,HOUSE,3.0,132.0,False,0.0,,,,,,,410.0,,,GOOD
235000.0,,Ninove,HOUSE,HOUSE,2.0,80.0,False,0.0,,1.0,,1.0,53.0,53.0,98.0,2.0,0.0,GOOD
275000.0,,Flémalle,HOUSE,MIXED_USE_BUILDING,3.0,252.0,False,0.0,,1.0,25.0,1.0,200.0,200.0,420.0,2.0,0.0,GOOD
995000.0,,MEISE,HOUSE,VILLA,5.0,450.0,False,,,1.0,,,,,1752.0,4.0,,GOOD
147500.0,,Geraardsbergen,HOUSE,HOUSE,3.0,100.0,False,,,1.0,9.0,1.0,11.0,11.0,40.0,,,JUST_RENOVATED
995000.0,,Bissegem,HOUSE,HOUSE,3.0,260.0,True,0.0,,1.0,50.0,,,,0.0,,,AS_NEW
270000.0,,Namur,APARTMENT,APARTMENT,3.0,105.0,False,,,,,,,,,,0.0,GOOD
1550000.0,,Oostende,APARTMENT,APARTMENT,3.0,178.0,False,,,1.0,,,,,,,,AS_NEW
415000.0,,Buggenhout,HOUSE,HOUSE,3.0,236.0,False,0.0,,1.0,,,,,2110.0,3.0,,GOOD
270000.0,,Andenne,APARTMENT,APARTMENT,2.0,88.0,False,0.0,,,,,,,,4.0,0.0,GOOD
,,Geraardsbergen,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,,,,,,,,,,
