Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
,0,Wingene,HOUSE_GROUP,HOUSE_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
,0,La Hulpe,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
498500.0,0,KONTICH,HOUSE,HOUSE,3.0,203.0,False,,"(1,)",1.0,"(None,)","(None,)","(None,)","(None,)","(316,)","(None,)",,GOOD
649000.0,0,Geraardsbergen,HOUSE,HOUSE,5.0,304.0,True,0.0,"(None,)",1.0,"(30,)","(1,)","(3200,)","(3200,)","(3746,)","(4,)",0.0,
460000.0,0,Ittre (Virginal),HOUSE,HOUSE,3.0,174.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(457,)","(3,)",0.0,GOOD
296569.0,0,HOOGLEDE,HOUSE,HOUSE,3.0,153.0,False,,"(None,)",,"(None,)","(1,)","(137,)","(137,)","(213,)","(2,)",,
439000.0,0,Sint-Andries,HOUSE,HOUSE,4.0,214.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(206,)","(4,)",,GOOD
262525.0,0,Roeselare,APARTMENT,APARTMENT,2.0,90.0,False,,"(None,)",1.0,"(11,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
,0,Sombreffe,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
333000.0,0,De Pinte,HOUSE,HOUSE,5.0,231.0,False,0.0,"(None,)",1.0,"(None,)","(1,)","(280,)","(280,)","(400,)","(2,)",,TO_RENOVATE
259000.0,0,Rebecq,HOUSE,HOUSE,4.0,200.0,False,,"(None,)",1.0,"(1,)","(1,)","(150,)","(150,)","(392,)","(3,)",0.0,TO_RENOVATE
419000.0,0,SAINT-NICOLAS,HOUSE,HOUSE,4.0,211.0,False,,"(None,)",1.0,"(40,)","(1,)","(300,)","(300,)","(640,)","(4,)",,GOOD
400000.0,0,Sint-Andries,HOUSE,HOUSE,5.0,189.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(181,)","(4,)",,GOOD
123000.0,0,Blankenberge,APARTMENT,APARTMENT,2.0,58.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,TO_BE_DONE_UP
220000.0,0,Antwerpen (2050),APARTMENT,APARTMENT,2.0,74.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
